time 	 iteration 	 error 
493983.42	 1	 0.0002083827296
493983.42	 2	 0.0002083847679
493983.42	 3	 0.0002083894404
493990.83	 1	 0.0002085402504
493990.83	 2	 0.000208542288
493990.83	 3	 0.0002085469604
493998.26	 1	 0.0002086979722
493998.26	 2	 0.0002087000087
493998.26	 3	 0.0002087046805
494005.7	 1	 0.0002088558735
494005.7	 2	 0.0002088579088
494005.7	 3	 0.0002088625792
494013.18	 1	 0.0002090141155
494013.18	 2	 0.0002090161541
494013.18	 3	 0.00020902083
494020.67	 1	 0.0002091769873
494020.67	 2	 0.0002091791469
494020.67	 3	 0.0002091840996
494028.18	 1	 0.0002093412881
494028.18	 2	 0.0002093434466
494028.18	 3	 0.0002093483973
494035.71	 1	 0.0002095058096
494035.71	 2	 0.0002095079667
494035.71	 3	 0.0002095129139
494043.27	 1	 0.0002096707189
494043.27	 2	 0.0002096728795
494043.27	 3	 0.0002096778308
494050.85	 1	 0.0002098358082
494050.85	 2	 0.0002098379667
494050.85	 3	 0.0002098429141
494058.42	 1	 0.0002100004555
494058.42	 2	 0.0002100025948
494058.42	 3	 0.0002100075144
494065.98	 1	 0.0002101646007
494065.98	 2	 0.0002101667204
494065.98	 3	 0.0002101716126
494073.53	 1	 0.0002103282238
494073.53	 2	 0.0002103303235
494073.53	 3	 0.0002103351883
494081.07	 1	 0.0002104913035
494081.07	 2	 0.0002104933827
494081.07	 3	 0.0002104982202
494088.6	 1	 0.0002106538179
494088.6	 2	 0.0002106558763
494088.6	 3	 0.0002106606863
494096.12	 1	 0.0002108157446
494096.12	 2	 0.0002108177817
494096.12	 3	 0.000210822564
494103.63	 1	 0.0002109770608
494103.63	 2	 0.0002109790764
494103.63	 3	 0.0002109838308
494111.13	 1	 0.0002111377439
494111.13	 2	 0.0002111397381
494111.13	 3	 0.0002111444642
494118.62	 1	 0.0002112977721
494118.62	 2	 0.0002112997445
494118.62	 3	 0.0002113044421
494126.11	 1	 0.000211457124
494126.11	 2	 0.0002114590748
494126.11	 3	 0.0002114637434
494133.58	 1	 0.0002116157799
494133.58	 2	 0.0002116177092
494133.58	 3	 0.0002116223485
494141.04	 1	 0.0002117737212
494141.04	 2	 0.0002117756289
494141.04	 3	 0.0002117802388
494148.51	 1	 0.0002119311161
494148.51	 2	 0.0002119330072
494148.51	 3	 0.0002119375945
494155.96	 1	 0.0002120877705
494155.96	 2	 0.0002120896398
494155.96	 3	 0.0002120941969
494163.41	 1	 0.0002122436554
494163.41	 2	 0.0002122455033
494163.41	 3	 0.00021225003
494170.84	 1	 0.0002123987556
494170.84	 2	 0.000212400582
494170.84	 3	 0.0002124050781
494178.27	 1	 0.0002125530556
494178.27	 2	 0.0002125548604
494178.27	 3	 0.0002125593258
494185.68	 1	 0.0002127065404
494185.68	 2	 0.0002127083238
494185.68	 3	 0.0002127127581
494193.09	 1	 0.0002128591952
494193.09	 2	 0.0002128609571
494193.09	 3	 0.0002128653606
494200.49	 1	 0.0002130110064
494200.49	 2	 0.0002130127469
494200.49	 3	 0.0002130171187
494207.88	 1	 0.0002131619599
494207.88	 2	 0.0002131636796
494207.88	 3	 0.0002131680198
494215.25	 1	 0.0002133120448
494215.25	 2	 0.0002133137432
494215.25	 3	 0.0002133180518
494222.63	 1	 0.0002134614254
494222.63	 2	 0.0002134631073
494222.63	 3	 0.0002134673908
494230	 1	 0.0002136099213
494230	 2	 0.0002136115821
494230	 3	 0.0002136158335
494237.36	 1	 0.00021375751
494237.36	 2	 0.0002137591499
494237.36	 3	 0.0002137633695
494244.71	 1	 0.0002139041813
494244.71	 2	 0.0002139058002
494244.71	 3	 0.0002139099878
494252.05	 1	 0.0002140499244
494252.05	 2	 0.0002140515225
494252.05	 3	 0.000214055678
494259.38	 1	 0.0002141947289
494259.38	 2	 0.0002141963062
494259.38	 3	 0.0002142004296
494266.71	 1	 0.0002143385846
494266.71	 2	 0.0002143401412
494266.71	 3	 0.0002143442323
494274.03	 1	 0.0002144816513
494274.03	 2	 0.0002144831914
494274.03	 3	 0.0002144872563
494281.34	 1	 0.000214623757
494281.34	 2	 0.0002146252766
494281.34	 3	 0.0002146293088
494288.65	 1	 0.0002147648832
494288.65	 2	 0.0002147663827
494288.65	 3	 0.0002147703823
494295.94	 1	 0.0002149050231
494295.94	 2	 0.0002149065024
494295.94	 3	 0.0002149104694
494303.22	 1	 0.0002150441697
494303.22	 2	 0.000215045629
494303.22	 3	 0.0002150495636
494310.51	 1	 0.0002151824809
494310.51	 2	 0.0002151839241
494310.51	 3	 0.0002151878322
494317.78	 1	 0.0002153197919
494317.78	 2	 0.0002153212154
494317.78	 3	 0.0002153250908
494325.05	 1	 0.0002154560869
494325.05	 2	 0.0002154574907
494325.05	 3	 0.0002154613336
494332.31	 1	 0.0002155913606
494332.31	 2	 0.0002155927445
494332.31	 3	 0.000215596555
494339.56	 1	 0.0002157256069
494339.56	 2	 0.0002157269714
494339.56	 3	 0.0002157307493
494346.8	 1	 0.0002158589794
494346.8	 2	 0.0002158603282
494346.8	 3	 0.0002158640794
494354.04	 1	 0.0002159913197
494354.04	 2	 0.000215992649
494354.04	 3	 0.0002159963674
494361.27	 1	 0.0002161226136
494361.27	 2	 0.0002161239244
494361.27	 3	 0.0002161276103
494368.49	 1	 0.0002162528595
494368.49	 2	 0.0002162541514
494368.49	 3	 0.0002162578046
494375.7	 1	 0.0002163820531
494375.7	 2	 0.0002163833264
494375.7	 3	 0.0002163869475
494382.91	 1	 0.0002165103454
494382.91	 2	 0.0002165116035
494382.91	 3	 0.0002165151978
494390.11	 1	 0.0002166375852
494390.11	 2	 0.0002166388247
494390.11	 3	 0.0002166423868
494397.31	 1	 0.000216763761
494397.31	 2	 0.0002167649823
494397.31	 3	 0.0002167685123
494404.49	 1	 0.0002168888708
494404.49	 2	 0.0002168900739
494404.49	 3	 0.0002168935719
494411.67	 1	 0.0002170130607
494411.67	 2	 0.0002170142489
494411.67	 3	 0.0002170177203
494418.85	 1	 0.0002171361849
494418.85	 2	 0.0002171373553
494418.85	 3	 0.0002171407945
494426.01	 1	 0.0002172582334
494426.01	 2	 0.000217259386
494426.01	 3	 0.0002172627931
494433.16	 1	 0.0002173792045
494433.16	 2	 0.0002173803397
494433.16	 3	 0.0002173837151
494440.32	 1	 0.0002174992423
494440.32	 2	 0.0002175003632
494440.32	 3	 0.000217503712
494447.47	 1	 0.0002176182076
494447.47	 2	 0.0002176193113
494447.47	 3	 0.0002176226284
494454.6	 1	 0.0002177360927
494454.6	 2	 0.0002177371794
494454.6	 3	 0.0002177404651
494461.74	 1	 0.0002178530387
494461.74	 2	 0.0002178541113
494461.74	 3	 0.0002178573708
494468.87	 1	 0.00021796891
494468.87	 2	 0.0002179699659
494468.87	 3	 0.0002179731942
494475.99	 1	 0.0002180836996
494475.99	 2	 0.0002180847388
494475.99	 3	 0.0002180879362
494483.1	 1	 0.0002181974085
494483.1	 2	 0.0002181984312
494483.1	 3	 0.0002182015978
494490.21	 1	 0.0002183101731
494490.21	 2	 0.0002183111821
494490.21	 3	 0.0002183143228
494497.31	 1	 0.000218421863
494497.31	 2	 0.0002184228558
494497.31	 3	 0.0002184259657
494504.4	 1	 0.0002185324719
494504.4	 2	 0.0002185334486
494504.4	 3	 0.0002185365278
494511.49	 1	 0.0002186421333
494511.49	 2	 0.0002186430971
494511.49	 3	 0.0002186461506
494518.57	 1	 0.0002187507229
494518.57	 2	 0.000218751671
494518.57	 3	 0.0002187546941
494525.64	 1	 0.0002188582357
494525.64	 2	 0.0002188591684
494525.64	 3	 0.0002188621614
494532.72	 1	 0.0002189648039
494532.72	 2	 0.0002189657239
494532.72	 3	 0.0002189686916
494539.78	 1	 0.0002190703062
494539.78	 2	 0.0002190712111
494539.78	 3	 0.000219074149
494546.83	 1	 0.0002191747392
494546.83	 2	 0.0002191756291
494546.83	 3	 0.0002191785376
494553.89	 1	 0.0002192782314
494553.89	 2	 0.0002192791089
494553.89	 3	 0.0002192819927
494560.93	 1	 0.0002193806652
494560.93	 2	 0.0002193815279
494560.93	 3	 0.0002193843825
494567.97	 1	 0.0002194820371
494567.97	 2	 0.0002194828854
494567.97	 3	 0.0002194857111
494575.01	 1	 0.0002195824725
494575.01	 2	 0.0002195833086
494575.01	 3	 0.0002195861098
494582.03	 1	 0.0002196818564
494582.03	 2	 0.0002196826781
494582.03	 3	 0.0002196854505
494589.05	 1	 0.0002197801863
494589.05	 2	 0.0002197809943
494589.05	 3	 0.0002197837383
494596.07	 1	 0.0002198775865
