# Time	Cd	Cl	Cm
2530.540943	1.852388199	7.613114785e-07	-9.169321586
2539.455957	1.853418625	8.582372585e-07	-9.174422194
2548.370972	1.854214245	8.267565054e-07	-9.178360513
2557.285987	1.856944352	1.072531937e-06	-9.191874543
2566.201001	1.859306937	1.358255459e-06	-9.203569341
2575.116016	1.861554952	-8.534040641e-07	-9.214697014
2584.031031	1.862522315	3.542219854e-07	-9.219485461
2592.946045	1.864000309	-3.617036586e-07	-9.226801531
2601.86106	1.863746384	8.734315159e-07	-9.225544603
2610.776075	1.863497524	2.013761006e-06	-9.224312743
2619.691089	1.864757713	2.141788113e-06	-9.230550681
2628.606104	1.865855307	9.011504095e-07	-9.235983769
2637.521119	1.866912544	1.179652756e-06	-9.241217091
2646.436133	1.867989909	1.314428139e-06	-9.246550047
2655.351148	1.86917361	1.634548371e-06	-9.252409369
2664.266163	1.870324396	1.129386625e-06	-9.258105758
2673.181177	1.870652716	1.652289971e-06	-9.259730946
2682.096192	1.871607889	1.40842297e-06	-9.264459052
2691.011206	1.872566976	1.527553906e-06	-9.269206533
2699.926221	1.873512093	1.575655645e-06	-9.273884862
2708.841236	1.87444114	1.620498856e-06	-9.278483643
2717.75625	1.875350996	1.651106263e-06	-9.282987429
2726.671265	1.876232893	1.690713382e-06	-9.28735282
2735.58628	1.877116765	1.974126875e-06	-9.291727987
2744.501294	1.877979474	1.963829593e-06	-9.295998395
2753.416309	1.878714633	8.541325841e-07	-9.299637434
2762.331324	1.878682481	2.524840022e-06	-9.299478283
2771.246338	1.880611582	2.317266312e-06	-9.309027333
2780.125835	1.880822511	2.655697804e-06	-9.310071429
2789.005332	1.881850052	1.570471679e-06	-9.315157758
2797.884828	1.884054939	1.970826785e-06	-9.326071948
2806.764325	1.8852384	3.255006911e-06	-9.33193008
2815.643822	1.88801746	2.722255683e-06	-9.345686428
2824.523318	1.888941468	2.517124445e-06	-9.350260267
2833.402815	1.889613269	2.501734189e-06	-9.353585682
2842.282312	1.890299852	2.545116159e-06	-9.35698427
2851.161808	1.890994819	2.610633422e-06	-9.360424354
2860.041305	1.891774469	2.657038826e-06	-9.364283621
2868.920802	1.892558033	2.843261202e-06	-9.368162263
2877.800298	1.893573994	2.382773281e-06	-9.373191272
2886.679795	1.893800095	2.637486993e-06	-9.374310472
2895.559292	1.894472927	2.809146443e-06	-9.37764099
2904.438788	1.895273786	2.890144838e-06	-9.381605239
2913.318285	1.895928134	2.773514294e-06	-9.384844266
2922.197781	1.896414984	2.62838349e-06	-9.387254173
2931.077278	1.897474194	3.668454367e-06	-9.392497261
2939.956775	1.898868744	3.259872776e-06	-9.399400285
2948.836271	1.90025691	3.984089511e-06	-9.406271706
2957.715768	1.901568049	3.098537902e-06	-9.412761844
2966.595265	1.902086613	2.957755345e-06	-9.415328734
2975.474761	1.902587645	3.312646582e-06	-9.417808842
2984.354258	1.903531985	3.951614259e-06	-9.422483325
2993.233755	1.904295334	2.949263622e-06	-9.426261905
3002.113251	1.903912213	3.866619009e-07	-9.424365456
3010.992748	1.904139843	3.619491572e-06	-9.425492225
3019.872245	1.904800589	3.49518872e-06	-9.428762914
3028.751741	1.905457239	3.470378498e-06	-9.432013333
3037.631238	1.906099549	3.480132441e-06	-9.435192768
3046.510735	1.906729651	3.489278166e-06	-9.438311771
3055.390231	1.907364514	3.519464129e-06	-9.441454345
3064.269728	1.908030779	3.352429017e-06	-9.444752355
3073.149225	1.908366646	3.363216336e-06	-9.446414896
3082.028721	1.909008052	6.484916369e-06	-9.449589855
3090.908218	1.909564696	4.568135219e-06	-9.452345243
3099.787715	1.910082024	4.089824902e-06	-9.454906019
3108.667211	1.910727588	4.366812878e-06	-9.45810156
3117.546708	1.911259518	4.16445557e-06	-9.460734613
3126.426205	1.911712081	8.367656852e-06	-9.462974801
3135.305701	1.912381293	4.044540422e-06	-9.466287402
3144.185198	1.913652969	3.870833553e-06	-9.472582195
3153.064695	1.914964736	4.570778638e-06	-9.479075444
3161.944191	1.916308201	4.488150029e-06	-9.485725595
3170.823688	1.91629814	3.53873888e-06	-9.485675794
3179.703185	1.916217796	4.01959782e-06	-9.485278089
3188.582681	1.916521781	4.071685599e-06	-9.486782815
3197.462178	1.916853915	3.631207572e-06	-9.488426878
3206.341675	1.917399303	6.773492383e-06	-9.49112655
3215.221171	1.91733932	4.839821738e-06	-9.490829632
3224.100668	1.918265434	5.892352135e-06	-9.495413896
3232.980165	1.918566825	4.772583043e-06	-9.496905782
3241.859661	1.918971528	4.689534202e-06	-9.498909066
3250.739158	1.919359895	4.767880024e-06	-9.500831478
3259.618655	1.919779181	4.860079676e-06	-9.502906945
3268.498151	1.920461023	4.921198112e-06	-9.506282063
3277.377648	1.920288224	5.564374703e-06	-9.50542671
3286.257145	1.920646009	5.286446931e-06	-9.507197746
3295.136641	1.921039826	5.218448139e-06	-9.50914714
3304.016138	1.921383366	5.291387864e-06	-9.510847663
3312.895635	1.921709335	5.345284917e-06	-9.512461207
3321.775131	1.92202572	5.395513835e-06	-9.514027315
3330.654628	1.922321775	5.501499832e-06	-9.515492786
3339.534125	1.922609611	5.643841797e-06	-9.516917577
3348.413621	1.923117742	5.873335968e-06	-9.519432824
3357.293118	1.923792648	6.73380152e-06	-9.522773609
3366.172615	1.923226999	2.772416431e-06	-9.519973647
3375.052111	1.923313323	6.555155318e-06	-9.520400948
3383.931608	1.923616972	5.289089145e-06	-9.521904011
3392.811104	1.924358663	6.228527319e-06	-9.525575384
3401.690601	1.924787761	5.803373089e-06	-9.527699415
3410.570098	1.925031706	5.990238708e-06	-9.528906944
3419.449594	1.925171641	5.994669078e-06	-9.529599623
3428.329091	1.926148102	6.006448962e-06	-9.534433105
3437.208588	1.927419291	6.06962774e-06	-9.540725488
3446.088084	1.927701289	6.129079074e-06	-9.542121378
3454.967581	1.928174561	6.132644848e-06	-9.544464079
3463.847078	1.928873956	6.259155894e-06	-9.547926082
3472.726574	1.928485147	6.231122989e-06	-9.546001478
3481.606071	1.929020321	6.406351507e-06	-9.548650591
3490.485568	1.929315389	6.446917836e-06	-9.550111173
3499.365064	1.929368778	6.434140478e-06	-9.550375451
3508.244561	1.928877659	6.357533787e-06	-9.54794441
3517.124058	1.929246424	6.589828533e-06	-9.549769798
3526.003554	1.92923502	6.589448896e-06	-9.549713347
3534.883051	1.929448276	6.628784484e-06	-9.550768968
3543.709057	1.929417936	6.627073981e-06	-9.550618783
3552.535062	1.929647359	7.123132457e-06	-9.551754429
3561.361068	1.930325602	6.981448821e-06	-9.555111731
3570.187074	1.93113542	7.237525067e-06	-9.559120329
3579.01308	1.931794334	7.203674365e-06	-9.562381951
3587.839085	1.931728621	6.454427303e-06	-9.562056673
3596.665091	1.931410015	8.085985323e-06	-9.560479576
3605.491097	1.930417103	5.590642369e-06	-9.555564659
3614.317103	1.930263034	6.078786588e-06	-9.554802021
3623.143108	1.930695767	7.12364319e-06	-9.556944047
3631.969114	1.93139494	7.288393814e-06	-9.560404954
